location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Holstenstraße (Mitte), Kiel;2020-12-17 00:00:00 +0100;Thursday;3994;8;rain;
Holstenstraße (Mitte), Kiel;2020-12-18 00:00:00 +0100;Friday;5199;8;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-12-19 00:00:00 +0100;Saturday;4496;8;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-12-20 00:00:00 +0100;Sunday;3455;9;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-12-21 00:00:00 +0100;Monday;6022;8;rain;
Holstenstraße (Mitte), Kiel;2020-12-22 00:00:00 +0100;Tuesday;4545;10;rain;
Holstenstraße (Mitte), Kiel;2020-12-23 00:00:00 +0100;Wednesday;3996;6;rain;
Holstenstraße (Mitte), Kiel;2020-12-24 00:00:00 +0100;Thursday;1622;5;rain;
Holstenstraße (Mitte), Kiel;2020-12-25 00:00:00 +0100;Friday;1875;3;clear-day;
Holstenstraße (Mitte), Kiel;2020-12-26 00:00:00 +0100;Saturday;1687;4;snow;
Holstenstraße (Mitte), Kiel;2020-12-27 00:00:00 +0100;Sunday;1268;4;rain;
Holstenstraße (Mitte), Kiel;2020-12-28 00:00:00 +0100;Monday;5073;3;rain;
Holstenstraße (Mitte), Kiel;2020-12-29 00:00:00 +0100;Tuesday;4198;3;rain;
Holstenstraße (Mitte), Kiel;2020-12-30 00:00:00 +0100;Wednesday;3741;4;rain;
Holstenstraße (Mitte), Kiel;2020-12-31 00:00:00 +0100;Thursday;2558;4;rain;
Holstenstraße (Mitte), Kiel;2021-01-01 00:00:00 +0100;Friday;1914;3;rain;
Holstenstraße (Mitte), Kiel;2021-01-02 00:00:00 +0100;Saturday;4062;4;rain;
Holstenstraße (Mitte), Kiel;2021-01-03 00:00:00 +0100;Sunday;2763;4;rain;
Holstenstraße (Mitte), Kiel;2021-01-04 00:00:00 +0100;Monday;4912;3;rain;
Holstenstraße (Mitte), Kiel;2021-01-05 00:00:00 +0100;Tuesday;4687;3;rain;
Holstenstraße (Mitte), Kiel;2021-01-06 00:00:00 +0100;Wednesday;2940;2;rain;
Holstenstraße (Mitte), Kiel;2021-01-07 00:00:00 +0100;Thursday;4516;3;rain;
Holstenstraße (Mitte), Kiel;2021-01-08 00:00:00 +0100;Friday;3323;2;snow;
Holstenstraße (Mitte), Kiel;2021-01-09 00:00:00 +0100;Saturday;3180;3;rain;
Holstenstraße (Mitte), Kiel;2021-01-10 00:00:00 +0100;Sunday;2759;3;rain;
Holstenstraße (Mitte), Kiel;2021-01-10 00:00:00 +0100;Sunday;16;;;
Holstenstraße (Mitte), Kiel;2021-01-11 00:00:00 +0100;Monday;3541;4;rain;
Holstenstraße (Mitte), Kiel;2021-01-12 00:00:00 +0100;Tuesday;5183;6;rain;
Holstenstraße (Mitte), Kiel;2021-01-13 00:00:00 +0100;Wednesday;3588;4;rain;
Holstenstraße (Mitte), Kiel;2021-01-14 00:00:00 +0100;Thursday;4755;2;snow;
Holstenstraße (Mitte), Kiel;2021-01-15 00:00:00 +0100;Friday;3968;1;cloudy;
Holstenstraße (Mitte), Kiel;2021-01-16 00:00:00 +0100;Saturday;4382;0;partly-cloudy-day;
